id,group,nr,date,time,address,speed,status,lat,lon,facility,country
(300022) MIT09-9556,MIT09,4,9/22/2011,12:53:51,"Baldwin Park, CA",0 Mph ,Idle Time ,34.1112,-117.926,,us
(300022) MIT09-9556,MIT09,5,10/31/2011,8:58:03,"Tianjin, China",0 Mph ,Idle Time ,39.0482,117.599,,china
(300022) MIT09-9556,MIT09,6,11/1/2011,0:24:59,"Tianjin, China",16 Mph ,Journey Start ,39.0482,117.6,,china
(300022) MIT09-9556,MIT09,7,11/1/2011,0:25:21,"Tianjin, China",0 Mph ,Idle Time ,39.0482,117.599,,china
(300022) MIT09-9556,MIT09,8,11/2/2011,1:49:53,"Tianjin, China",0 Mph ,Journey End ,39.048,117.599,,china
(300022) MIT09-9556,MIT09,9,11/2/2011,3:44:03,"Tianjin, China",7 Mph ,Journey Start ,39.045,117.602,,china
(300022) MIT09-9556,MIT09,10,11/2/2011,4:41:36,"Tianjin, China",0 Mph ,,39.0409,117.624,,china
(300022) MIT09-9556,MIT09,11,11/2/2011,4:51:39,"Tianjin, China",0 Mph ,Journey End ,39.0409,117.624,,china
(300022) MIT09-9556,MIT09,12,11/2/2011,8:09:27,"Tianjin, China",0 Mph ,Idle Time ,39.0409,117.624,,china
(300022) MIT09-9556,MIT09,13,11/2/2011,18:52:55,"Tianjin, China",7 Mph ,Journey Start ,39.0423,117.625,,china
(300022) MIT09-9556,MIT09,14,11/2/2011,19:46:41,"Tianjin, China",16 Mph ,,39.0517,117.655,,china
(300022) MIT09-9556,MIT09,15,11/2/2011,20:46:57,"Beitang,  Tianjin",,,39.1067044,117.7172623,,china
(300022) MIT09-9556,MIT09,16,11/2/2011,21:47:13,"Tianjin, China",2 Mph ,,39.1128,117.596,,china
(300022) MIT09-9556,MIT09,17,11/2/2011,22:20:40,"Tianjin, China",0 Mph ,Journey End ,39.1117,117.595,,china
(300022) MIT09-9556,MIT09,18,11/3/2011,3:07:03,"Tianjin, China",0 Mph ,Idle Time ,39.1117,117.594,,china
(300022) MIT09-9556,MIT09,19,11/3/2011,4:56:47,"Tianjin, China",7 Mph ,Journey Start ,39.1129,117.595,,china
(300022) MIT09-9556,MIT09,20,11/3/2011,5:56:11,"Tianjin, China",35 Mph ,,39.0518,117.617,,china
(300022) MIT09-9556,MIT09,21,11/3/2011,6:56:28,"Tianjin, China",46 Mph ,,38.8183,117.198,,china
(300022) MIT09-9556,MIT09,22,11/3/2011,7:56:44,"Tianjin, China",0 Mph ,,38.6828,116.881,,china
(300022) MIT09-9556,MIT09,23,11/3/2011,8:02:04,"Tianjin, China",0 Mph ,Journey End ,38.6828,116.881,,china
(300022) MIT09-9556,MIT09,24,11/3/2011,8:41:43,"Tianjin, China",8 Mph ,Journey Start ,38.6793,116.88,,china
(300022) MIT09-9556,MIT09,25,11/3/2011,9:28:07,"Hebei, China",45 Mph ,,38.2363,116.726,,china
(300022) MIT09-9556,MIT09,26,11/3/2011,10:28:24,"Hebei, China",47 Mph ,,37.6903,116.47,,china
(300022) MIT09-9556,MIT09,27,11/3/2011,11:28:41,"Shandong, China",50 Mph ,,37.2319,116.478,,china
(300022) MIT09-9556,MIT09,28,11/3/2011,12:28:58,"Shandong, China",43 Mph ,,36.7128,116.862,,china
(300022) MIT09-9556,MIT09,29,11/3/2011,13:29:14,"Shandong, China",48 Mph ,,36.3981,116.665,,china
(300022) MIT09-9556,MIT09,30,11/3/2011,14:29:31,"Shandong, China",41 Mph ,,35.9229,116.408,,china
(300022) MIT09-9556,MIT09,31,11/3/2011,15:29:48,"Shandong, China",0 Mph ,,35.6394,116.174,,china
(300022) MIT09-9556,MIT09,32,11/3/2011,15:39:15,"Shandong, China",0 Mph ,Journey End ,35.6394,116.174,,china
(300022) MIT09-9556,MIT09,33,11/3/2011,16:03:24,"Shandong, China",9 Mph ,Journey Start ,35.6388,116.173,,china
(300022) MIT09-9556,MIT09,34,11/3/2011,18:16:43,"Shandong, China",0 Mph ,Journey End ,34.5618,115.681,,china
(300022) MIT09-9556,MIT09,35,11/3/2011,18:23:28,"Shandong, China",12 Mph ,Journey Start ,34.555,115.684,,china
(300022) MIT09-9556,MIT09,36,11/3/2011,19:35:50,"Henan, China",49 Mph ,,34.4899,115.717,,china
(300022) MIT09-9556,MIT09,37,11/3/2011,20:35:50,"Henan, China",49 Mph ,,34.4899,115.717,,china
(300022) MIT09-9556,MIT09,38,11/3/2011,21:14:03,"Henan, China",0 Mph ,Journey End ,34.4438,115.414,,china
(300022) MIT09-9556,MIT09,39,11/4/2011,2:24:03,"Henan, China",0 Mph ,Idle Time ,34.4438,115.414,,china
(300022) MIT09-9556,MIT09,40,11/4/2011,6:29:10,"Henan, China",7 Mph ,Journey Start ,34.4418,115.427,,china
(300022) MIT09-9556,MIT09,41,11/4/2011,8:06:46,"Henan, China",5 Mph ,,34.4285,115.421,,china
(300022) MIT09-9556,MIT09,42,11/4/2011,8:12:30,"Henan, China",0 Mph ,Journey End ,34.4092,115.455,,china
(300022) MIT09-9556,MIT09,43,11/4/2011,11:54:33,"Henan, China",0 Mph ,Idle Time,34.4091,115.455,,china
(300023) MIT10-9405,MIT10,1,8/4/2011,2:44:58,"CA, 90063",0 Mph ,Idle Time ,34.0593,-118.191,TW Recycling,us
(300023) MIT10-9405,MIT10,2,11/16/2011,13:01:59,"Guangxi Zhuang, China",9 Mph ,Journey Start ,21.5452,107.981,,china
(300023) MIT10-9405,MIT10,3,11/16/2011,13:24:41,"Guangxi Zhuang, China",7 Mph ,,21.5467,107.977,,china
(300023) MIT10-9405,MIT10,4,11/16/2011,14:24:37,"Guangxi Zhuang, China",2 Mph ,,21.5502,107.983,,china
(300023) MIT10-9405,MIT10,5,11/16/2011,16:23:29,"Guangxi Zhuang, China",0 Mph ,Journey End ,21.5502,107.983,,china
(300023) MIT10-9405,MIT10,6,11/17/2011,3:24:35,"Guangxi Zhuang, China",12 Mph ,Journey Start ,22.892,108.437,,china
(300023) MIT10-9405,MIT10,7,11/17/2011,4:02:05,"Guangxi Zhuang, China",22 Mph ,,22.891,108.437,,china
(300023) MIT10-9405,MIT10,8,11/17/2011,4:15:10,"Guangxi Zhuang, China",0 Mph ,Journey End ,22.891,108.437,,china
(300023) MIT10-9405,MIT10,9,11/17/2011,15:00:39,"Guangxi Zhuang, China",0 Mph ,Idle Time ,22.891,108.437,,china
(300023) MIT10-9405,MIT10,10,11/19/2011,2:21:09,"Guangdong, China",9 Mph ,Journey Start ,23.2411,113.245,,china
(300023) MIT10-9405,MIT10,11,11/19/2011,2:54:12,"Guangzhou,  Guangdong",,,23.1255978,113.2278442,,china
(300023) MIT10-9405,MIT10,12,11/19/2011,3:54:09,"Guangdong, China",0 Mph ,,22.9723,113.252,,china
(300023) MIT10-9405,MIT10,13,11/19/2011,4:21:13,"Guangdong, China",0 Mph ,Journey End ,22.9722,113.252,,china
(300023) MIT10-9405,MIT10,14,11/19/2011,10:01:58,"Guangdong, China",0 Mph ,Idle Time ,22.9722,113.252,,china
(300023) MIT10-9405,MIT10,15,11/19/2011,22:29:04,"Guangdong, China",0 Mph ,Idle Time ,22.9724,113.251,,china
(300023) MIT10-9405,MIT10,16,11/20/2011,20:14:04,"Guangdong, China",0 Mph ,Idle Time ,22.9721,113.252,,china
(300023) MIT10-9405,MIT10,17,11/21/2011,0:29:34,"S43 Guangzhu W Expy Foshan Shunde, China",0 Mph ,Idle Time,22.9724,113.252,,china
(300024) MIT11-9506,MIT11,1,8/17/2011,18:38:28,"Walnut, CA",0 Mph ,Idle Time ,34.0028,-117.856,All Electronics Technology Inc,us
(300024) MIT11-9506,MIT11,2,8/17/2011,18:58:59,"Walnut, CA",8 Mph ,Journey Start,34.0026,-117.856,,us
(300024) MIT11-9506,MIT11,3,8/18/2011,2:38:45,"Chino, CA",0 Mph ,Idle Time,34.0278,-117.718,,us
(300024) MIT11-9506,MIT11,4,9/1/2011,1:26:27,"Chino, CA",0 Mph ,Idle Time ,34.0078,-117.686,,us
(300024) MIT11-9506,MIT11,5,9/1/2011,23:45:00,"Chino, CA",0 Mph ,Idle Time ,34.0078,-117.686,,us
(300024) MIT11-9506,MIT11,6,9/28/2011,15:14:18,"Chino, CA",0 Mph,Idle Time,34.0083,-117.686,Attan Recycling Corporation,us
